example_id                                                          | status  | run_time        |
./spec/lib/ade_predictor_spec.rb[1:4:1]                             | passed  | 0.00007 seconds |
./spec/lib/ade_predictor_spec.rb[1:4:2]                             | passed  | 0.00016 seconds |
./spec/lib/ade_predictor_spec.rb[1:5:1]                             | passed  | 0.00089 seconds |
./spec/lib/ade_predictor_spec.rb[1:5:2]                             | passed  | 0.00009 seconds |
./spec/lib/ade_predictor_spec.rb[1:5:3]                             | passed  | 0.00022 seconds |
./spec/lib/baseline_predictor_spec.rb[1:1:1]                        | passed  | 0.00022 seconds |
./spec/lib/baseline_predictor_spec.rb[1:1:2]                        | passed  | 0.0002 seconds  |
./spec/lib/baseline_predictor_spec.rb[1:2:1]                        | passed  | 0.00446 seconds |
./spec/lib/baseline_predictor_spec.rb[1:2:2]                        | passed  | 0.00263 seconds |
./spec/lib/baseline_predictor_spec.rb[1:2:3]                        | passed  | 0.00266 seconds |
./spec/lib/baseline_predictor_spec.rb[1:2:4]                        | passed  | 0.00306 seconds |
./spec/lib/baseline_predictor_spec.rb[1:2:5]                        | passed  | 0.00872 seconds |
./spec/lib/baseline_predictor_spec.rb[1:3:1]                        | passed  | 0.00608 seconds |
./spec/lib/baseline_predictor_spec.rb[1:3:2]                        | passed  | 0.01121 seconds |
./spec/lib/baseline_predictor_spec.rb[1:3:3]                        | passed  | 0.00034 seconds |
./spec/lib/baseline_predictor_spec.rb[1:4:1]                        | passed  | 0.03675 seconds |
./spec/lib/baseline_predictor_spec.rb[1:4:2]                        | passed  | 0.00297 seconds |
./spec/lib/baseline_predictor_spec.rb[1:4:3]                        | passed  | 0.00544 seconds |
./spec/lib/baseline_predictor_spec.rb[1:5:1]                        | passed  | 0.00305 seconds |
./spec/lib/baseline_predictor_spec.rb[1:5:2]                        | passed  | 0.00023 seconds |
./spec/lib/baseline_predictor_spec.rb[1:6:1]                        | passed  | 5.28 seconds    |
./spec/lib/baseline_predictor_spec.rb[1:6:2]                        | passed  | 5.59 seconds    |
./spec/lib/baseline_predictor_spec.rb[1:6:3]                        | passed  | 0.00152 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:1:1]                           | passed  | 0.00011 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:1:2]                           | passed  | 0.00012 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:2:1]                           | passed  | 0.00049 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:2:2]                           | passed  | 0.00013 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:3:1]                           | passed  | 0.00011 seconds |
./spec/lib/cost_tracking_spec.rb[1:1:4:1]                           | passed  | 0.00011 seconds |
./spec/lib/cost_tracking_spec.rb[1:2:1:1]                           | passed  | 0.00129 seconds |
./spec/lib/cost_tracking_spec.rb[1:2:2:1]                           | passed  | 0.00024 seconds |
./spec/lib/cost_tracking_spec.rb[1:3:1:1]                           | passed  | 0.00182 seconds |
./spec/lib/cost_tracking_spec.rb[1:3:1:2]                           | passed  | 0.00044 seconds |
./spec/lib/cost_tracking_spec.rb[1:3:2:1]                           | passed  | 0.05238 seconds |
./spec/lib/cost_tracking_spec.rb[1:3:3:1]                           | passed  | 0.00212 seconds |
./spec/lib/cost_tracking_spec.rb[1:3:3:2]                           | passed  | 0.00344 seconds |
./spec/lib/cost_tracking_spec.rb[1:4:1]                             | passed  | 0.00104 seconds |
./spec/lib/dataset_loader_spec.rb[1:1:1]                            | passed  | 0.06071 seconds |
./spec/lib/dataset_loader_spec.rb[1:1:2]                            | passed  | 0.00137 seconds |
